№; region;customer; type; receiver;win; model; ;final price; trades date
134;Кировская область;"КОГКУ  ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КРД-2;ППС;Севкаврентген;Диаком;1;12 300 000,00;18.02.2020 10:30
135;Чувашская Республика - Чувашия;ГОССЛУЖБА ЧУВАШИИ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ И ТАРИФАМ;МРТ;1,5;;Optima MR450w ;1;91 650 000,00;19.02.2020 10:11
136;Волгоградская область;ОБЛКОМЗАКУПКИ;АГ;ПП;Philips;Azurion 7 М20;1;63 960 177,00;21.02.2020 11:00
137;Волгоградская область;ОБЛКОМЗАКУПКИ;АГ;ПП;Philips;Azurion 7 М20;1;63 960 177,00;21.02.2020 11:00
138;Кировская область;"КОГКУ  ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;64;GE;Revolution EVO ;1;55 000 000,00;17.02.2020 10:50
139;Кировская область;"КОГКУ  ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";КТ;64;GE;Revolution EVO ;1;55 000 000,00;17.02.2020 10:50
140;Ивановская область;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;;1,5;;;1;отменен;18.02.2020 12:15
141;Чувашская Республика - Чувашия;ГОССЛУЖБА ЧУВАШИИ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ И ТАРИФАМ;КТ;128;Siemens;SOMATOM Definition AS ;1;65 511 676,52;17.02.2020 10:37
142;Москва;"ФБУЗ ""ЛЕЧЕБНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР МИНЭКОНОМРАЗВИТИЯ РОССИИ""";КТ;128;н/д;;1;56 832 500,00;
143;Московская область;ФГБУЗ ЦМСЧ № 21 ФМБА РОССИИ;РХА;УРИ;GE;Brivo OEC;1;7 400 000,00;20.02.2020 9:41
144;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;КРД-2;ППМ;Севкаврентген;Диаком;1;9 998 000,00;19.02.2020 9:26
145;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;КРД-2;ППМ;Севкаврентген;Диаком;1;9 998 000,00;19.02.2020 9:26
146;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;КРД-2;ППМ;Севкаврентген;Диаком;1;9 998 000,00;19.02.2020 9:16
147;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;КРД-2;ППМ;Севкаврентген;Диаком;1;9 998 000,00;19.02.2020 11:42
148;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;КРД-2;ППМ;Севкаврентген;Диаком;1;9 998 000,00;19.02.2020 11:42
149;Республика Карелия;"КУ РК ""УКС РК""";РХА;УРИ;Амико;АРХП-«Амико», ;1;8 233 333,37;19.02.2020 9:15
150;Санкт-Петербург;АДМИНИСТРАЦИЯ КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;АПР;CR;Гелпик;РЕНЕКС;1;4 095 000,00;21.02.2020 12:05
151;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";;16;;;;отменен;20.02.2020 9:18
152;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";;16;;;;отменен;20.02.2020 9:18
153;Тульская область;"ГКУ ТО ""ЦОЗ""";М;ППС;МТЛ;«Маммо-4-«МТ» ;1;10 863 990,41;
154;Тульская область;"ГКУ ТО ""ЦОЗ""";М;ППС;МТЛ;«Маммо-4-«МТ» ;1;10 863 990,41;
155;Тульская область;"ГКУ ТО ""ЦОЗ""";М;ППС;МТЛ;«Маммо-4-«МТ» ;1;10 863 990,41;
156;Тульская область;"ГКУ ТО ""ЦОЗ""";М;ППС;МТЛ;«Маммо-4-«МТ» ;1;10 863 990,41;
157;Тульская область;"ГКУ ТО ""ЦОЗ""";М;ППС;МТЛ;«Маммо-4-«МТ» ;1;10 863 990,42;
158;Челябинская область;"ГБУЗ ""РАЙОННАЯ БОЛЬНИЦА Г. КУСА""";Ф;СЛ;МЕДТЕХ;КАРС;1;6 300 000,00;21.02.2020 10:20
159;Свердловская область;"ГАУЗ СО ""СООД""";МРТ;1;;;1;172 210 375,00;
160;Санкт-Петербург;ГБУ СПБ НИИ СП ИМ.  И.И. ДЖАНЕЛИДЗЕ;РХА;ПП;Ziehm;Ziehm Vision RFD ;1;19 800 000,00;21.02.2020 11:10
161;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;;ППД;;;;отменен;25.02.2020 12:00
162;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;;СЛ;;;;отменен;26.02.2020 11:24
163;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;;СЛ;;;;отменен;26.02.2020 11:24
164;Новосибирская область;"ФКУ ""СОУМТС МВД РОССИИ""";Ф;ПП;Ренмедпром;ГАММА;1;5 884 692,15;25.02.2020 0:00
165;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;АГ;ПП;GE;Innova IGS с принадлежностями), вариант исполнения 540;1;78 010 000,00;21.02.2020 9:00
166;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";КТ;128;Siemens;SOMATOM Definition AS ;1;75 987 500,00;27.02.2020 10:24
167;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;АПР;ППМ;МТЛ;«МобиРен-4-МТ» ;1;7 580 000,00;27.02.2020 11:45
168;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;АПР;ППМ;МТЛ;«МобиРен-4-МТ» ;1;7 580 000,00;27.02.2020 11:45
169;Карачаево-Черкесская Республика;МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ;АГ;ПП;Siemens;Artis zee floor ;1;56 951 000,00;27.02.2020 9:55
170;Ульяновская область;МИНКОНКУРЕНЦИИ УЛЬЯНОВСКОЙ ОБЛАСТИ;МРТ;1,5;;Vantage Titan 3T;1;93 238 042,50;02.03.2020 12:15
171;Приморский край;"КГБУЗ ""ЧУГУЕВСКАЯ ЦРБ""";КРТ;УРИ+ППМ;Гелпик;КРДЦ – Т20/Т2000 – «РЕНЕКС» ;1;17 820 000,00;26.02.2020 10:00
172;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;КТ;64;GE;Revolution EVO ;1;47 596 448,00;26.02.2020 9:20
173;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;КРД-2;ППС+ППМ;Shimadzu;RADspeed;1;15 761 340,04;25.02.2020 10:58
174;Вологодская область;КОМИТЕТ ГОСЗАКАЗА  ОБЛАСТИ;КТ;128;Siemens;SOMATOM Definition AS ;1;64 600 869,33;25.02.2020 10:15
175;Республика Хакасия;ГОСКОМЗАКУП ХАКАСИИ;МРТ;1,5;;ECHELON OVAL” ;1;110 075 458,63;25.02.2020 10:45
176;Республика Марий Эл;ГБУ РМЭ РКБ;КРТ;ППД2т;МТЛ;«ТелеКоРД-МТ-Плюс» ;1;25 215 700,00;27.02.2020 9:15
177;Удмуртская Республика;"БУК УР ""ЗООПАРК УДМУРТИИ""";АПР;;н/д;;1;1 562 000,00;
178;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;02.03.2020 9:25
179;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;02.03.2020 9:25
180;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;02.03.2020 9:25
181;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;02.03.2020 9:25
182;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;02.03.2020 9:25
183;Липецкая область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ ЛИПЕЦКОЙ ОБЛАСТИ;КРД-2;ППС;МТЛ;УниКоРД-МТ-Плюс;1;13 500 000,00;26.02.2020 12:10
184;Липецкая область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ ЛИПЕЦКОЙ ОБЛАСТИ;КРД-2;ППС;Гелпик;РЕНЕКС-2;1;13 500 000,00;26.02.2020 12:10
185;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
186;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
187;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
188;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
189;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
190;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
191;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;ПП;;;;отменен;26.02.2020 9:05
192;Санкт-Петербург;ГБУ СПБ НИИ СП ИМ.  И.И. ДЖАНЕЛИДЗЕ;РХА;ПП;Philips;Veradius Unity;1;19 815 000,00;25.02.2020 11:10
193;Республика Хакасия;ГОСКОМЗАКУП ХАКАСИИ;М;ППС;Fujifilm;Amulet Innovality (FDR MS-3500) ;1;29 588 250,00;25.02.2020 9:00
194;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;;СЛ;;;;отменен;26.02.2020 11:24
195;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;;СЛ;;;;отменен;26.02.2020 11:24
196;Камчатский край;ГБУЗ КК ПК ГДП №1;КРД-2;ППС;МТЛ;«УниКоРД-МТ» ;1;22 105 488,08;28.02.2020 10:17
197;Приморский край;"КГБУЗ ""ЯКОВЛЕВСКАЯ ЦРБ""";КРД-2/СМ;ППС;Medien;Galaxy;1;13 930 000,00;27.02.2020 9:00
198;Калининградская область;КОНКУРСНОЕ АГЕНТСТВО КАЛИНИНГРАДСКОЙ ОБЛАСТИ;КТ;128;GE;RevolutionEVO;1;57 900 000,00;28.02.2020 10:45
199;Кемеровская область;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КЕМЕРОВСКОЙ ОБЛАСТИ ""АГЕНТСТВО ПО ЗАКУПКАМ В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";МРТ;1,5;;MAGNETOM Amira ;1;79 700 000,00;
200;Кемеровская область;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КЕМЕРОВСКОЙ ОБЛАСТИ ""АГЕНТСТВО ПО ЗАКУПКАМ В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";МРТ;1,5;;MAGNETOM Amira ;1;79 700 000,00;
201;Волгоградская область;ОБЛКОМЗАКУПКИ;РХА;УРИ;Амико;АРХП- «АМИКО», ;1;5 500 000,00;02.03.2020 10:00
202;Республика Адыгея;КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;РХА;ПП;Гелпик;"""РЕНЕКС"" ";1;10 200 000,00;28.02.2020 12:25
203;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;АПР;ППЭ;Амико;РАПИКС;1;11 950 000,00;03.03.2020 10:20
204;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;АПР;ППЭ;Амико;РАПИКС;1;11 950 000,00;03.03.2020 10:20
205;Республика Северная Осетия - Алания;УПРАВЛЕНИЕ РЕСПУБЛИКИ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ ПО ПРОВЕДЕНИЮ ЗАКУПОК ДЛЯ ГОСУДАРСТВЕННЫХ НУЖД;АГ;ПП;Siemens;Artis Q floor ;1;66 959 300,00;28.02.2020 9:18
206;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;;128;;;;отменен;02.03.2020 10:00
207;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";КТ;16;Siemens;SOMATOM go.Now;1;25 596 000,00;28.02.2020 10:06
208;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";КТ;16;Siemens;SOMATOM go.Now;1;25 596 000,00;28.02.2020 10:06
209;Нижегородская область;"ГБУ НО ""ГОСВЕТУПРАВЛЕНИЕ ПАВЛОВСКОГО РАЙОНА""";АПР;ППМ;н/д;Германия;1;1 970 000,00;
210;Санкт-Петербург;АДМИНИСТРАЦИЯ ЦЕНТРАЛЬНОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППС;Электрон;"КРД-""ОКО"")";1;12 695 089,00;02.03.2020 10:50
211;Москва;"ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""";РХА;ПП;Ziehm;Ziehm Vision RFD ;1;30 428 708,99;28.02.2020 10:00
212;Москва;"ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""";РХА;УРИ;GE;GE OEC Fluorostar Compact ;1;7 402 500,00;28.02.2020 9:00
213;Москва;"ГБУЗ ""ГКБ ИМ. С.С. ЮДИНА ДЗМ""";РХА;УРИ;GE;GE OEC Fluorostar Compact ;1;7 402 500,00;28.02.2020 9:00
214;Калининградская область;КОНКУРСНОЕ АГЕНТСТВО КАЛИНИНГРАДСКОЙ ОБЛАСТИ;РХА;ПП;Philips;Veradius Unity;1;15 440 000,00;02.03.2020 11:30
215;Калининградская область;КОНКУРСНОЕ АГЕНТСТВО КАЛИНИНГРАДСКОЙ ОБЛАСТИ;РХА;ПП;Philips;Veradius Unity;1;15 440 000,00;02.03.2020 11:30
216;Калининградская область;КОНКУРСНОЕ АГЕНТСТВО КАЛИНИНГРАДСКОЙ ОБЛАСТИ;РХА;ПП;Philips;Veradius Unity;1;15 440 000,00;02.03.2020 11:30
217;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;;;;;;отменен;02.03.2020 9:35
218;Республика Крым;КОМИТЕТ ГОСЗАКАЗА КРЫМА;РХА;УРИ;Italray;"""КАРМЕКС"" ";1;4 732 900,00;02.03.2020 11:00
219;Санкт-Петербург;"ГБУ ""САНКТ-ПЕТЕРБУРГСКАЯ ГОРВЕТСТАНЦИЯ""";КРД-2/СМ вет;;;китай;1;9 650 000,00;
220;Санкт-Петербург;"ФГБУ ""НМИЦ ДЕТСКОЙ ТРАВМАТОЛОГИИ И ОРТОПЕДИИ ИМЕНИ Г.И. ТУРНЕРА"" МИНЗДРАВА РОССИИ";МРТ;3,0 - 7,0;;Ingenia Elition X ;1;156 280 000,00;04.03.2020 9:15
221;Севастополь;ДЕПАРТАМЕНТ ФИНАНСОВ;МРТ;1,5;;SIGNA Creator. ;1;75 645 460,33;03.03.2020 12:00
222;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;УРИ+ППС;;;;не состоялся;04.03.2020 9:40
223;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;УРИ+ППС;;;;не состоялся;04.03.2020 9:40
224;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";Ф;CCD;Амико;"""Флюоро-ПроГраф-РП"" ";1;9 000 000,00;03.03.2020 10:28
225;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";Ф;CCD;Амико;"""Флюоро-ПроГраф-РП"" ";1;9 000 000,00;03.03.2020 10:28
226;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";Ф;CCD;Амико;"""Флюоро-ПроГраф-РП"" ";1;9 000 000,00;03.03.2020 10:28
227;Москва;"ФКУ ""ЦОУМТС МВД РОССИИ""";Ф;CCD;Амико;"""Флюоро-ПроГраф-РП"" ";1;9 000 000,00;03.03.2020 10:28
228;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;ППМ;;;;не состоялся;03.03.2020 10:20
229;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;ППМ;;;;не состоялся;03.03.2020 10:20
230;Краснодарский край;"ГКУ КК ""ДГЗ""";КРД-2;ППС;МТЛ;«УниКоРД-МТ-Плюс» ;1;12 000 000,00;03.03.2020 11:20
231;Кабардино-Балкарская Республика;МИНЗДРАВ КБР;КТ;онко;Siemens;SOMATOM Confidence ;1;61 326 930,50;02.03.2020 11:47
232;Тульская область;"ГУЗ ""ТОККВД""";М;ППС;н/д;;1;7 400 000,00;
233;Республика Башкортостан;ГАУЗ РБ ГКБ № 18 Г. УФЫ;АПР;П;н/д;;1;2 900 000,00;
234;Республика Башкортостан;ГАУЗ РБ ГКБ № 18 Г. УФЫ;АПР;П;н/д;;1;2 900 000,00;
235;Республика Саха (Якутия);"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ЛЕНСКИЙ РАЙОН""";;П;;;;не состоялся;11.03.2020 11:55
236;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;РХА;УРИ;Амико;АРХП-«АМИКО» ;1;5 750 000,00;04.03.2020 9:34
237;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;РХА;УРИ;Амико;АРХП-«АМИКО» ;1;5 750 000,00;04.03.2020 9:34
238;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;КРД-2;ППС;МТЛ;«УниКоРД-МТ-Плюс» ;1;12 450 000,00;04.03.2020 9:34
